"Notes","County","County Code","Year","Year Code","Multiple Cause of death","Multiple Cause of death Code","Underlying Cause of death","Underlying Cause of death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Alameda County, CA","06001","2021","2021","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",43,1648556,2.6,1.9,3.5,0.4,0.0%
,"Alameda County, CA","06001","2021","2021","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,1648556,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2021","2021","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,1648556,1.2,0.7,1.9,0.3,0.0%
,"Alameda County, CA","06001","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",45,1648556,2.7,2.0,3.7,0.4,0.0%
,"Alameda County, CA","06001","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",70,1648556,4.2,3.3,5.4,0.5,0.1%
,"Alameda County, CA","06001","2022","2022","Heroin","T40.1","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",19,1628997,Unreliable,0.7,1.8,0.3,0.0%
,"Alameda County, CA","06001","2022","2022","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",17,1628997,Unreliable,0.6,1.7,0.3,0.0%
,"Alameda County, CA","06001","2022","2022","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",13,1628997,Unreliable,0.4,1.4,0.2,0.0%
,"Alameda County, CA","06001","2022","2022","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,1628997,Unreliable,0.7,1.7,0.3,0.0%
,"Alameda County, CA","06001","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",87,1628997,5.3,4.3,6.6,0.6,0.1%
,"Alameda County, CA","06001","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",109,1628997,6.7,5.4,7.9,0.6,0.1%
,"Alameda County, CA","06001","2022","2022","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",53,1628997,3.3,2.4,4.3,0.4,0.0%
,"Alameda County, CA","06001","2022","2022","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,1628997,1.2,0.7,1.9,0.3,0.0%
,"Alameda County, CA","06001","2022","2022","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,1628997,Unreliable,0.3,1.2,0.2,0.0%
,"Alameda County, CA","06001","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",55,1628997,3.4,2.5,4.4,0.5,0.1%
,"Alameda County, CA","06001","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",114,1628997,7.0,5.7,8.3,0.7,0.1%
,"Alameda County, CA","06001","2023 ","2023","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",19,1622188,Unreliable,0.7,1.8,0.3,0.0%
,"Alameda County, CA","06001","2023 ","2023","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,1622188,Unreliable,0.7,1.8,0.3,0.0%
,"Alameda County, CA","06001","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",136,1622188,8.4,7.0,9.8,0.7,0.1%
,"Alameda County, CA","06001","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",147,1622188,9.1,7.6,10.5,0.7,0.1%
,"Alameda County, CA","06001","2023 ","2023","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",85,1622188,5.2,4.2,6.5,0.6,0.1%
,"Alameda County, CA","06001","2023 ","2023","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",36,1622188,2.2,1.6,3.1,0.4,0.0%
,"Alameda County, CA","06001","2023 ","2023","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,1622188,1.2,0.8,1.9,0.3,0.0%
,"Alameda County, CA","06001","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",46,1622188,2.8,2.1,3.8,0.4,0.0%
,"Alameda County, CA","06001","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",140,1622188,8.6,7.2,10.1,0.7,0.1%
,"Butte County, CA","06007","2018","2018","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,231256,Unreliable,2.4,8.5,1.4,0.0%
,"Butte County, CA","06007","2018","2018","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",15,231256,Unreliable,3.6,10.7,1.7,0.0%
,"Butte County, CA","06007","2019","2019","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",29,219186,13.2,8.9,19.0,2.5,0.0%
,"Butte County, CA","06007","2020","2020","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,212744,Unreliable,2.3,8.6,1.5,0.0%
,"Butte County, CA","06007","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",36,212744,16.9,11.9,23.4,2.8,0.0%
,"Butte County, CA","06007","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,212744,Unreliable,3.9,11.6,1.8,0.0%
,"Butte County, CA","06007","2021","2021","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,208309,Unreliable,2.3,8.8,1.5,0.0%
,"Butte County, CA","06007","2021","2021","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,208309,Unreliable,3.3,10.7,1.7,0.0%
,"Butte County, CA","06007","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,208309,Unreliable,5.1,13.7,2.0,0.0%
,"Butte County, CA","06007","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",26,208309,12.5,8.2,18.3,2.4,0.0%
,"Butte County, CA","06007","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",51,208309,24.5,18.2,32.2,3.4,0.0%
,"Butte County, CA","06007","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",34,208309,16.3,11.3,22.8,2.8,0.0%
,"Butte County, CA","06007","2022","2022","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,207303,Unreliable,3.7,11.3,1.8,0.0%
,"Butte County, CA","06007","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,207303,Unreliable,2.3,8.9,1.5,0.0%
,"Butte County, CA","06007","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",44,207303,21.2,15.4,28.5,3.2,0.0%
,"Butte County, CA","06007","2022","2022","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,207303,Unreliable,2.3,8.9,1.5,0.0%
,"Butte County, CA","06007","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",37,207303,17.8,12.6,24.6,2.9,0.0%
,"Butte County, CA","06007","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",45,207303,21.7,15.8,29.0,3.2,0.0%
,"Butte County, CA","06007","2023 ","2023","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,207172,Unreliable,2.7,9.5,1.6,0.0%
,"Butte County, CA","06007","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,207172,Unreliable,5.1,13.7,2.0,0.0%
,"Butte County, CA","06007","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",53,207172,25.6,19.2,33.5,3.5,0.0%
,"Butte County, CA","06007","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",43,207172,20.8,15.0,28.0,3.2,0.0%
,"Butte County, CA","06007","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",54,207172,26.1,19.6,34.0,3.5,0.1%
,"Contra Costa County, CA","06013","2018","2018","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,1150215,Unreliable,0.4,1.6,0.3,0.0%
,"Contra Costa County, CA","06013","2018","2018","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",24,1150215,2.1,1.3,3.1,0.4,0.0%
,"Contra Costa County, CA","06013","2018","2018","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,1150215,1.7,1.1,2.7,0.4,0.0%
,"Contra Costa County, CA","06013","2018","2018","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,1150215,Unreliable,0.5,1.7,0.3,0.0%
,"Contra Costa County, CA","06013","2018","2018","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,1150215,Unreliable,0.5,1.8,0.3,0.0%
,"Contra Costa County, CA","06013","2018","2018","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,1150215,Unreliable,0.6,1.9,0.3,0.0%
,"Contra Costa County, CA","06013","2018","2018","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",36,1150215,3.1,2.2,4.3,0.5,0.0%
,"Contra Costa County, CA","06013","2018","2018","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",32,1150215,2.8,1.9,3.9,0.5,0.0%
,"Contra Costa County, CA","06013","2019","2019","Heroin","T40.1","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,1153526,Unreliable,1.0,2.6,0.4,0.0%
,"Contra Costa County, CA","06013","2019","2019","Other opioids","T40.2","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",12,1153526,Unreliable,0.5,1.8,0.3,0.0%
,"Contra Costa County, CA","06013","2019","2019","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,1153526,Unreliable,0.5,1.8,0.3,0.0%
,"Contra Costa County, CA","06013","2019","2019","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,1153526,1.7,1.1,2.7,0.4,0.0%
,"Contra Costa County, CA","06013","2019","2019","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",30,1153526,2.6,1.8,3.7,0.5,0.0%
,"Contra Costa County, CA","06013","2019","2019","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,1153526,Unreliable,0.5,1.7,0.3,0.0%
,"Contra Costa County, CA","06013","2019","2019","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,1153526,Unreliable,0.6,1.9,0.3,0.0%
,"Contra Costa County, CA","06013","2019","2019","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,1153526,Unreliable,0.6,1.9,0.3,0.0%
,"Contra Costa County, CA","06013","2019","2019","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",27,1153526,2.3,1.5,3.4,0.5,0.0%
,"Contra Costa County, CA","06013","2019","2019","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",44,1153526,3.8,2.8,5.1,0.6,0.0%
,"Contra Costa County, CA","06013","2020","2020","Heroin","T40.1","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,1152333,Unreliable,0.5,1.7,0.3,0.0%
,"Contra Costa County, CA","06013","2020","2020","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,1152333,Unreliable,0.7,2.0,0.3,0.0%
,"Contra Costa County, CA","06013","2020","2020","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",50,1152333,4.3,3.2,5.7,0.6,0.0%
,"Contra Costa County, CA","06013","2020","2020","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",57,1152333,4.9,3.7,6.4,0.7,0.1%
,"Contra Costa County, CA","06013","2020","2020","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",20,1152333,1.7,1.1,2.7,0.4,0.0%
,"Contra Costa County, CA","06013","2020","2020","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,1152333,Unreliable,0.5,1.8,0.3,0.0%
,"Contra Costa County, CA","06013","2020","2020","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,1152333,Unreliable,0.4,1.6,0.3,0.0%
,"Contra Costa County, CA","06013","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",44,1152333,3.8,2.8,5.1,0.6,0.0%
,"Contra Costa County, CA","06013","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",53,1152333,4.6,3.4,6.0,0.6,0.0%
,"Contra Costa County, CA","06013","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",56,1161413,4.8,3.6,6.3,0.6,0.1%
,"Contra Costa County, CA","06013","2021","2021","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",101,1161413,8.7,7.0,10.4,0.9,0.1%
,"Contra Costa County, CA","06013","2021","2021","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",17,1161413,Unreliable,0.9,2.3,0.4,0.0%
,"Contra Costa County, CA","06013","2021","2021","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",23,1161413,2.0,1.3,3.0,0.4,0.0%
,"Contra Costa County, CA","06013","2021","2021","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,1161413,Unreliable,0.6,1.9,0.3,0.0%
,"Contra Costa County, CA","06013","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",33,1161413,2.8,2.0,4.0,0.5,0.0%
,"Contra Costa County, CA","06013","2021","2021","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",101,1161413,8.7,7.0,10.4,0.9,0.1%
,"Contra Costa County, CA","06013","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",65,1156966,5.6,4.3,7.2,0.7,0.1%
,"Contra Costa County, CA","06013","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",88,1156966,7.6,6.1,9.4,0.8,0.1%
,"Contra Costa County, CA","06013","2022","2022","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",33,1156966,2.9,2.0,4.0,0.5,0.0%
,"Contra Costa County, CA","06013","2022","2022","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,1156966,Unreliable,0.5,1.8,0.3,0.0%
,"Contra Costa County, CA","06013","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",38,1156966,3.3,2.3,4.5,0.5,0.0%
,"Contra Costa County, CA","06013","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",87,1156966,7.5,6.0,9.3,0.8,0.1%
,"Contra Costa County, CA","06013","2023 ","2023","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,1155025,Unreliable,0.4,1.6,0.3,0.0%
,"Contra Costa County, CA","06013","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",62,1155025,5.4,4.1,6.9,0.7,0.1%
,"Contra Costa County, CA","06013","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",97,1155025,8.4,6.8,10.2,0.9,0.1%
,"Contra Costa County, CA","06013","2023 ","2023","Cocaine","T40.5","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",25,1155025,2.2,1.4,3.2,0.4,0.0%
,"Contra Costa County, CA","06013","2023 ","2023","Cocaine","T40.5","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",19,1155025,Unreliable,1.0,2.6,0.4,0.0%
,"Contra Costa County, CA","06013","2023 ","2023","Benzodiazepines","T42.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,1155025,Unreliable,0.5,1.7,0.3,0.0%
,"Contra Costa County, CA","06013","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",43,1155025,3.7,2.7,5.0,0.6,0.0%
,"Contra Costa County, CA","06013","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",96,1155025,8.3,6.7,10.1,0.8,0.1%
,"Del Norte County, CA","06015","2022","2022","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,27082,Unreliable,22.9,77.4,12.8,0.0%
,"Del Norte County, CA","06015","2022","2022","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,27082,Unreliable,20.3,72.7,12.2,0.0%
,"Del Norte County, CA","06015","2023 ","2023","Other synthetic narcotics","T40.4","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,26589,Unreliable,18.0,69.2,11.9,0.0%
,"Del Norte County, CA","06015","2023 ","2023","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,26589,Unreliable,18.0,69.2,11.9,0.0%
,"El Dorado County, CA","06017","2020","2020","Other opioids","T40.2","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,192925,Unreliable,2.5,9.5,1.6,0.0%
,"El Dorado County, CA","06017","2020","2020","Psychostimulants with abuse potential","T43.6","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,192925,Unreliable,3.2,10.9,1.8,0.0%
